"","Movie.Name","Release.Year","Movie.Rating","Director","Run.time","Votes","Movie.Links"
"1","Eredet","(2010)","8.8","Christopher Nolan","148 min","2,193,836","https://www.imdb.com/title/tt1375666/?ref_=adv_li_tt"
"2","Mátrix","(1999)","8.7","Lana Wachowski","136 min","1,779,014","https://www.imdb.com/title/tt0133093/?ref_=adv_li_tt"
"3","A Birodalom visszavág","(1980)","8.7","Irvin Kershner","124 min","1,214,813","https://www.imdb.com/title/tt0080684/?ref_=adv_li_tt"
"4","National Theatre Live: Frankenstein","(2011)","8.6","Danny Boyle","130 min","3,592","https://www.imdb.com/title/tt1795369/?ref_=adv_li_tt"
"5","Csillagok között","(2014)","8.6","Christopher Nolan","169 min","1,642,752","https://www.imdb.com/title/tt0816692/?ref_=adv_li_tt"
"6","Csillagok háborúja","(1977)","8.6","George Lucas","121 min","1,286,562","https://www.imdb.com/title/tt0076759/?ref_=adv_li_tt"
"7","A tökéletes trükk","(2006)","8.5","Christopher Nolan","130 min","1,256,424","https://www.imdb.com/title/tt0482571/?ref_=adv_li_tt"
"8","Terminátor 2. - Az ítélet napja","(1991)","8.5","James Cameron","137 min","1,041,316","https://www.imdb.com/title/tt0103064/?ref_=adv_li_tt"
"9","Vissza a jövőbe","(1985)","8.5","Robert Zemeckis","116 min","1,123,556","https://www.imdb.com/title/tt0088763/?ref_=adv_li_tt"
"10","Ejen Ali the Movie","(2019)","8.4","Muhammad Usamah Zaid","97 min","1,069","https://www.imdb.com/title/tt9020536/?ref_=adv_li_tt"
"11","Gekijôban Shingeki no Kyojin Season 2: Kakusei no hôkô","(2018)","8.4","Masashi Koizuka","120 min","2,349","https://www.imdb.com/title/tt7941892/?ref_=adv_li_tt"
"12","Pókember - Irány a Pókverzum","(2018)","8.4","Bob Persichetti","117 min","437,707","https://www.imdb.com/title/tt4633694/?ref_=adv_li_tt"
"13","Bosszúállók: Végjáték","(2019)","8.4","Anthony Russo","181 min","962,593","https://www.imdb.com/title/tt4154796/?ref_=adv_li_tt"
"14","Bosszúállók: Végtelen háború","(2018)","8.4","Anthony Russo","149 min","942,521","https://www.imdb.com/title/tt4154756/?ref_=adv_li_tt"
"15","Wall-E","(2008)","8.4","Andrew Stanton","98 min","1,051,088","https://www.imdb.com/title/tt0910970/?ref_=adv_li_tt"
"16","Aditya 369","(1991)","8.4","Singeetam Srinivasa Rao","140 min","2,630","https://www.imdb.com/title/tt0252196/?ref_=adv_li_tt"
"17","Macskafogó","(1986)","8.4","Béla Ternovszky","96 min","9,780","https://www.imdb.com/title/tt0179955/?ref_=adv_li_tt"
"18","A nyolcadik utas: a Halál","(1979)","8.4","Ridley Scott","117 min","831,148","https://www.imdb.com/title/tt0078748/?ref_=adv_li_tt"
"19","Krapiva","(2016)","8.3","Sergey A.","63 min","1,940","https://www.imdb.com/title/tt6067750/?ref_=adv_li_tt"
"20","Gekijouban Gintama Kanketsu-hen: Yorozuyayo eien nare","(2013)","8.3","Yôichi Fujita","110 min","2,424","https://www.imdb.com/title/tt2374144/?ref_=adv_li_tt"
"21","Lucia","(I) (2013)","8.3","Pawan Kumar","135 min","12,036","https://www.imdb.com/title/tt2358592/?ref_=adv_li_tt"
"22","Egy makulátlan elme örök ragyogása","(2004)","8.3","Michel Gondry","108 min","955,544","https://www.imdb.com/title/tt0338013/?ref_=adv_li_tt"
"23","A bolygó neve: Halál","(1986)","8.3","James Cameron","137 min","684,094","https://www.imdb.com/title/tt0090605/?ref_=adv_li_tt"
"24","A Jedi visszatér","(1983)","8.3","Richard Marquand","131 min","993,808","https://www.imdb.com/title/tt0086190/?ref_=adv_li_tt"
"25","Halló, itt Iván cár!","(1973)","8.3","Leonid Gaidai","88 min","15,920","https://www.imdb.com/title/tt0070233/?ref_=adv_li_tt"
"26","Mechanikus narancs","(1971)","8.3","Stanley Kubrick","136 min","791,549","https://www.imdb.com/title/tt0066921/?ref_=adv_li_tt"
"27","2001: Űrodüsszeia","(1968)","8.3","Stanley Kubrick","149 min","635,128","https://www.imdb.com/title/tt0062622/?ref_=adv_li_tt"
"28","Metropolis","(1927)","8.3","Fritz Lang","153 min","167,998","https://www.imdb.com/title/tt0017136/?ref_=adv_li_tt"
"29","Kanojo no omoide","(1995)","8.2","Kôji Morimoto","45 min","2,258","https://www.imdb.com/title/tt1530535/?ref_=adv_li_tt"
"30","Siren head","(2020)","8.2","Sergey A.","52 min","1,271","https://www.imdb.com/title/tt12706382/?ref_=adv_li_tt"
"31","Dűne","(2021)","8.2","Denis Villeneuve","155 min","341,092","https://www.imdb.com/title/tt1160419/?ref_=adv_li_tt"
"32","Indru Netru Naalai","(2015)","8.1","R. Ravikumar","146 min","4,122","https://www.imdb.com/title/tt4806232/?ref_=adv_li_tt"
"33","Logan - Farkas","(2017)","8.1","James Mangold","137 min","697,285","https://www.imdb.com/title/tt3315342/?ref_=adv_li_tt"
"34","Shin Evangelion Gekijôban","(2021)","8.1","Mahiro Maeda","154 min","6,826","https://www.imdb.com/title/tt2458948/?ref_=adv_li_tt"
"35","PK","(2014)","8.1","Rajkumar Hirani","153 min","173,788","https://www.imdb.com/title/tt2338151/?ref_=adv_li_tt"
"36","Agymanók","(I) (2015)","8.1","Pete Docter","95 min","660,738","https://www.imdb.com/title/tt2096673/?ref_=adv_li_tt"
"37","Suzumiya Haruhi no shôshitsu","(2010)","8.1","Tatsuya Ishihara","162 min","6,872","https://www.imdb.com/title/tt1572781/?ref_=adv_li_tt"
"38","Mad Max: A harag útja","(2015)","8.1","George Miller","120 min","937,663","https://www.imdb.com/title/tt1392190/?ref_=adv_li_tt"
"39","Zack Snyder: Az Igazság Ligája","(2021)","8.1","Zack Snyder","242 min","346,506","https://www.imdb.com/title/tt12361974/?ref_=adv_li_tt"
"40","Made in Abyss: Fukaki Tamashî no Reimei","(2020)","8.1","Masayuki Kojima","113 min","2,517","https://www.imdb.com/title/tt10068916/?ref_=adv_li_tt"
"41","V mint vérbosszú","(2005)","8.1","James McTeigue","132 min","1,075,438","https://www.imdb.com/title/tt0434409/?ref_=adv_li_tt"
"42","Neon Genesis Evangelion: Az Evangelion vége","(1997)","8.1","Hideaki Anno","87 min","47,938","https://www.imdb.com/title/tt0169858/?ref_=adv_li_tt"
"43","Jurassic Park","(1993)","8.1","Steven Spielberg","127 min","917,283","https://www.imdb.com/title/tt0107290/?ref_=adv_li_tt"
"44","Kin-Dza-Dza","(1986)","8.1","Georgiy Daneliya","135 min","12,161","https://www.imdb.com/title/tt0091341/?ref_=adv_li_tt"
"45","Nauszika - A szél harcosai","(1984)","8.1","Hayao Miyazaki","117 min","161,509","https://www.imdb.com/title/tt0087544/?ref_=adv_li_tt"
"46","A dolog","(1982)","8.1","John Carpenter","109 min","397,296","https://www.imdb.com/title/tt0084787/?ref_=adv_li_tt"
"47","Szárnyas fejvadász","(1982)","8.1","Ridley Scott","117 min","729,201","https://www.imdb.com/title/tt0083658/?ref_=adv_li_tt"
"48","Sztalker","(1979)","8.1","Andrei Tarkovsky","162 min","127,570","https://www.imdb.com/title/tt0079944/?ref_=adv_li_tt"
"49","Solaris","(1972)","8.1","Andrei Tarkovsky","167 min","87,493","https://www.imdb.com/title/tt0069293/?ref_=adv_li_tt"
"50","Mentőexpedíció","(2015)","8.0","Ridley Scott","144 min","803,546","https://www.imdb.com/title/tt3659388/?ref_=adv_li_tt"
"51","Gizem Birimi","(2013)","8.0","Erkut Altindag","95 min","1,165","https://www.imdb.com/title/tt2192100/?ref_=adv_li_tt"
"52","A galaxis őrzői","(2014)","8.0","James Gunn","121 min","1,104,346","https://www.imdb.com/title/tt2015381/?ref_=adv_li_tt"
"53","Szárnyas fejvadász 2049","(2017)","8.0","Denis Villeneuve","164 min","514,707","https://www.imdb.com/title/tt1856101/?ref_=adv_li_tt"
"54","A nő","(2013)","8.0","Spike Jonze","126 min","573,106","https://www.imdb.com/title/tt1798709/?ref_=adv_li_tt"
"55","Deadpool","(2016)","8.0","Tim Miller","108 min","959,803","https://www.imdb.com/title/tt1431045/?ref_=adv_li_tt"
"56","Kôkaku kidôtai 2.0","(2008)","8.0","Mamoru Oshii","83 min","14,234","https://www.imdb.com/title/tt1260502/?ref_=adv_li_tt"
"57","Concrete shark","(2020)","8.0","Sergey A.","45 min","1,073","https://www.imdb.com/title/tt11890562/?ref_=adv_li_tt"
"58","Evangerion shin gekijôban: Ha","(2009)","8.0","Masayuki","112 min","19,488","https://www.imdb.com/title/tt0860906/?ref_=adv_li_tt"
"59","Bosszúállók","(2012)","8.0","Joss Whedon","143 min","1,317,775","https://www.imdb.com/title/tt0848228/?ref_=adv_li_tt"
"60","G.O.R.A. - Támadás egy idegen bolygóról","(2004)","8.0","Ömer Faruk Sorak","127 min","60,164","https://www.imdb.com/title/tt0384116/?ref_=adv_li_tt"
"61","Donnie Darko","(2001)","8.0","Richard Kelly","113 min","768,985","https://www.imdb.com/title/tt0246578/?ref_=adv_li_tt"
"62","Tayna tretey planety","(1981)","8.0","Roman Kachanov","48 min","2,811","https://www.imdb.com/title/tt0211653/?ref_=adv_li_tt"
"63","Szuper haver","(1999)","8.0","Brad Bird","86 min","182,304","https://www.imdb.com/title/tt0129167/?ref_=adv_li_tt"
"64","12 majom","(1995)","8.0","Terry Gilliam","129 min","598,875","https://www.imdb.com/title/tt0114746/?ref_=adv_li_tt"
"65","Páncélba zárt szellem","(1995)","8.0","Mamoru Oshii","83 min","136,863","https://www.imdb.com/title/tt0113568/?ref_=adv_li_tt"
"66","Akira","(1988)","8.0","Katsuhiro Ôtomo","124 min","175,845","https://www.imdb.com/title/tt0094625/?ref_=adv_li_tt"
"67","Terminátor - A halálosztó","(1984)","8.0","James Cameron","107 min","824,752","https://www.imdb.com/title/tt0088247/?ref_=adv_li_tt"
"68","A majmok bolygója","(1968)","8.0","Franklin J. Schaffner","112 min","173,320","https://www.imdb.com/title/tt0063442/?ref_=adv_li_tt"
"69","Egy másik arc","(1966)","8.0","Hiroshi Teshigahara","122 min","8,399","https://www.imdb.com/title/tt0061065/?ref_=adv_li_tt"
"70","Doragon bôru chô: Burorî","(2018)","7.9","Tatsuya Nagamine","100 min","24,994","https://www.imdb.com/title/tt7961060/?ref_=adv_li_tt"
"71","Kutyák szigete","(2018)","7.9","Wes Anderson","101 min","154,590","https://www.imdb.com/title/tt5104604/?ref_=adv_li_tt"
"72","24","(I) (2016)","7.9","Vikram K. Kumar","164 min","20,391","https://www.imdb.com/title/tt4981966/?ref_=adv_li_tt"
"73","Thor: Ragnarök","(2017)","7.9","Taika Waititi","130 min","657,901","https://www.imdb.com/title/tt3501632/?ref_=adv_li_tt"
"74","Gekijouban Steins;Gate: Fuka ryouiki no dejavu","(2013)","7.9","Kanji Wakabayashi","90 min","7,644","https://www.imdb.com/title/tt2967286/?ref_=adv_li_tt"
"75","Érkezés","(II) (2016)","7.9","Denis Villeneuve","116 min","647,356","https://www.imdb.com/title/tt2543164/?ref_=adv_li_tt"
"76","X-Men: Az eljövendő múlt napjai","(2014)","7.9","Bryan Singer","132 min","683,553","https://www.imdb.com/title/tt1877832/?ref_=adv_li_tt"
"77","A holnap határa","(2014)","7.9","Doug Liman","113 min","637,509","https://www.imdb.com/title/tt1631867/?ref_=adv_li_tt"
"78","Stand by Me Doraemon 2","(2020)","7.9","Ryuichi Yagi","96 min","2,558","https://www.imdb.com/title/tt13428402/?ref_=adv_li_tt"
"79","District 9","(2009)","7.9","Neill Blomkamp","112 min","658,748","https://www.imdb.com/title/tt1136608/?ref_=adv_li_tt"
"80","My Hero Academia - Boku no hîrô akademia THE MOVIE - Heroes: Rising - Hîrôzu: Raijingu","(2019)","7.9","Kenji Nagasaki","104 min","6,499","https://www.imdb.com/title/tt11107074/?ref_=adv_li_tt"
"81","Star Trek","(2009)","7.9","J.J. Abrams","127 min","592,080","https://www.imdb.com/title/tt0796366/?ref_=adv_li_tt"
"82","Az őslakó","(2007)","7.9","Richard Schenkman","87 min","181,845","https://www.imdb.com/title/tt0756683/?ref_=adv_li_tt"
"83","A vasember","(2008)","7.9","Jon Favreau","126 min","993,006","https://www.imdb.com/title/tt0371746/?ref_=adv_li_tt"
"84","Cowboy Bebop","(2001)","7.9","Shin'ichirô Watanabe","115 min","45,949","https://www.imdb.com/title/tt0275277/?ref_=adv_li_tt"
"85","Az ember gyermeke","(2006)","7.9","Alfonso Cuarón","109 min","482,536","https://www.imdb.com/title/tt0206634/?ref_=adv_li_tt"
"86","Brazil","(1985)","7.9","Terry Gilliam","132 min","195,752","https://www.imdb.com/title/tt0088846/?ref_=adv_li_tt"
"87","King Kong","(1933)","7.9","Merian C. Cooper","100 min","83,041","https://www.imdb.com/title/tt0024216/?ref_=adv_li_tt"
"88","Awe!","(2018)","7.8","Prasanth Varma","150 min","4,778","https://www.imdb.com/title/tt7797658/?ref_=adv_li_tt"
"89","Zsivány Egyes: Egy Star Wars-történet","(2016)","7.8","Gareth Edwards","133 min","585,739","https://www.imdb.com/title/tt3748528/?ref_=adv_li_tt"
"90","Amerika kapitány: Polgárháború","(2016)","7.8","Anthony Russo","147 min","718,132","https://www.imdb.com/title/tt3498820/?ref_=adv_li_tt"
"91","Star Wars: Az ébredő Erő","(2015)","7.8","J.J. Abrams","138 min","890,340","https://www.imdb.com/title/tt2488496/?ref_=adv_li_tt"
"92","Hős6os","(2014)","7.8","Don Hall","102 min","433,332","https://www.imdb.com/title/tt2245084/?ref_=adv_li_tt"
"93","Időről időre","(I) (2013)","7.8","Richard Curtis","123 min","326,084","https://www.imdb.com/title/tt2194499/?ref_=adv_li_tt"
"94","Hold","(2009)","7.8","Duncan Jones","97 min","347,456","https://www.imdb.com/title/tt1182345/?ref_=adv_li_tt"
"95","Avatar","(2009)","7.8","James Cameron","162 min","1,164,530","https://www.imdb.com/title/tt0499549/?ref_=adv_li_tt"
"96","Mr. Nobody","(2009)","7.8","Jaco Van Dormael","141 min","225,655","https://www.imdb.com/title/tt0485947/?ref_=adv_li_tt"
"97","Serenity","(2005)","7.8","Joss Whedon","119 min","290,251","https://www.imdb.com/title/tt0379786/?ref_=adv_li_tt"
"98","Interstella 5555: The 5tory of the 5ecret 5tar 5ystem","(2003)","7.8","Daisuke Nishio","68 min","14,336","https://www.imdb.com/title/tt0368667/?ref_=adv_li_tt"
"99","Gattaca","(1997)","7.8","Andrew Niccol","106 min","291,815","https://www.imdb.com/title/tt0119177/?ref_=adv_li_tt"
"100","Batman: A rém álarca","(1993)","7.8","Kevin Altieri","76 min","47,078","https://www.imdb.com/title/tt0106364/?ref_=adv_li_tt"
"101","Vissza a jövőbe II.","(1989)","7.8","Robert Zemeckis","108 min","505,307","https://www.imdb.com/title/tt0096874/?ref_=adv_li_tt"
"102","Ragadozó","(1987)","7.8","John McTiernan","107 min","390,282","https://www.imdb.com/title/tt0093773/?ref_=adv_li_tt"
"103","Mr. India","(1987)","7.8","Shekhar Kapur","179 min","14,901","https://www.imdb.com/title/tt0093578/?ref_=adv_li_tt"
"104","Macross","(1984)","7.8","Noboru Ishiguro","114 min","3,012","https://www.imdb.com/title/tt0087660/?ref_=adv_li_tt"
"105","Szellemirtók","(1984)","7.8","Ivan Reitman","105 min","381,783","https://www.imdb.com/title/tt0087332/?ref_=adv_li_tt"
"106","E.T. A földönkívüli","(1982)","7.8","Steven Spielberg","115 min","390,056","https://www.imdb.com/title/tt0083866/?ref_=adv_li_tt"
"107","A vad bolygó","(1973)","7.8","René Laloux","72 min","28,636","https://www.imdb.com/title/tt0070544/?ref_=adv_li_tt"
"108","Frankenstein menyasszonya","(1935)","7.8","James Whale","75 min","46,541","https://www.imdb.com/title/tt0026138/?ref_=adv_li_tt"
"109","Dr. Frankenstein","(1931)","7.8","James Whale","70 min","69,618","https://www.imdb.com/title/tt0021884/?ref_=adv_li_tt"
"110","A Mitchellék a gépek ellen","(2021)","7.7","Michael Rianda","113 min","79,150","https://www.imdb.com/title/tt7979580/?ref_=adv_li_tt"
"111","Deadpool 2.","(2018)","7.7","David Leitch","119 min","526,452","https://www.imdb.com/title/tt5463162/?ref_=adv_li_tt"
"112","Eiga Doraemon Shin Nobita to tetsujin heidan: Habatake tenshitachi","(2011)","7.7","Yukiyo Teramoto","108 min","1,075","https://www.imdb.com/title/tt1851909/?ref_=adv_li_tt"
"113","Amerika kapitány: A tél katonája","(2014)","7.7","Anthony Russo","136 min","785,810","https://www.imdb.com/title/tt1843866/?ref_=adv_li_tt"
"114","Rontó Ralph","(2012)","7.7","Rich Moore","101 min","399,370","https://www.imdb.com/title/tt1772341/?ref_=adv_li_tt"
"115","Gekijôban Gintama: Shin'yaku Benizakura hen","(2010)","7.7","Shinji Takamatsu","96 min","1,774","https://www.imdb.com/title/tt1636780/?ref_=adv_li_tt"
"116","A Lego-kaland","(2014)","7.7","Christopher Miller","100 min","337,282","https://www.imdb.com/title/tt1490017/?ref_=adv_li_tt"
"117","Gravitáció","(2013)","7.7","Alfonso Cuarón","91 min","796,398","https://www.imdb.com/title/tt1454468/?ref_=adv_li_tt"
"118","Sötétségben - Star Trek","(2013)","7.7","J.J. Abrams","132 min","473,952","https://www.imdb.com/title/tt1408101/?ref_=adv_li_tt"
"119","Gurren Lagann","(2008)","7.7","Hiroyuki Imaishi","112 min","1,550","https://www.imdb.com/title/tt1288461/?ref_=adv_li_tt"
"120","X-Men: Az elsők","(2011)","7.7","Matthew Vaughn","131 min","666,623","https://www.imdb.com/title/tt1270798/?ref_=adv_li_tt"
"121","Evangelion 1.0 (Nem) vagy egyedül","(2007)","7.7","Masayuki","98 min","21,777","https://www.imdb.com/title/tt0923811/?ref_=adv_li_tt"
"122","Paprika","(2006)","7.7","Satoshi Kon","90 min","77,731","https://www.imdb.com/title/tt0851578/?ref_=adv_li_tt"
"123","Az idő fölött járó lány","(2006)","7.7","Mamoru Hosoda","98 min","63,637","https://www.imdb.com/title/tt0808506/?ref_=adv_li_tt"
"124","Ex Machina","(2014)","7.7","Alex Garland","108 min","507,706","https://www.imdb.com/title/tt0470752/?ref_=adv_li_tt"
"125","Vampire Hunter D: Vérszomj","(2000)","7.7","Jack Fletcher","103 min","30,801","https://www.imdb.com/title/tt0216651/?ref_=adv_li_tt"
"126","Kidô Senshi Gundam III: Meguriai Sorahen","(1982)","7.7","Yoshiyuki Tomino","144 min","1,142","https://www.imdb.com/title/tt0159511/?ref_=adv_li_tt"
"127","Dragon Ball Z 12: A fúzió újjászületése","(1995)","7.7","Shigeyasu Yamauchi","51 min","10,556","https://www.imdb.com/title/tt0142236/?ref_=adv_li_tt"
"128","Nyisd ki a szemed","(1997)","7.7","Alejandro Amenábar","119 min","67,702","https://www.imdb.com/title/tt0125659/?ref_=adv_li_tt"
"129","Az ötödik elem","(1997)","7.7","Luc Besson","126 min","452,686","https://www.imdb.com/title/tt0119116/?ref_=adv_li_tt"
"130","Varázslatos álmok: A rózsa ígérete","(1993)","7.7","Kunihiko Ikuhara","61 min","2,498","https://www.imdb.com/title/tt0106417/?ref_=adv_li_tt"
"131","Hombre mirando al sudeste","(1986)","7.7","Eliseo Subiela","105 min","3,934","https://www.imdb.com/title/tt0091214/?ref_=adv_li_tt"
"132","Szexmisszió","(1984)","7.7","Juliusz Machulski","117 min","12,728","https://www.imdb.com/title/tt0088083/?ref_=adv_li_tt"
"133","Star Trek II: Khan haragja","(1982)","7.7","Nicholas Meyer","113 min","117,234","https://www.imdb.com/title/tt0084726/?ref_=adv_li_tt"
"134","Második lehetőség","(1966)","7.7","John Frankenheimer","106 min","19,107","https://www.imdb.com/title/tt0060955/?ref_=adv_li_tt"
"135","Münchhausen báró","(1962)","7.7","Karel Zeman","83 min","2,354","https://www.imdb.com/title/tt0054665/?ref_=adv_li_tt"
"136","A testrablók támadása","(1956)","7.7","Don Siegel","80 min","47,752","https://www.imdb.com/title/tt0049366/?ref_=adv_li_tt"
"137","A nap, mikor megállt a Föld","(1951)","7.7","Robert Wise","92 min","79,989","https://www.imdb.com/title/tt0043456/?ref_=adv_li_tt"
"138","A láthatatlan ember","(1933)","7.7","James Whale","71 min","33,438","https://www.imdb.com/title/tt0024184/?ref_=adv_li_tt"
"139","Shang-Chi és a Tíz Gyűrű legendája","(2021)","7.6","Destin Daniel Cretton","132 min","200,498","https://www.imdb.com/title/tt9376612/?ref_=adv_li_tt"
"140","A galaxis őrzői vol. 2.","(2017)","7.6","James Gunn","136 min","619,335","https://www.imdb.com/title/tt3896198/?ref_=adv_li_tt"
"141","A hihetetlen család 2.","(2018)","7.6","Brad Bird","118 min","272,420","https://www.imdb.com/title/tt3606756/?ref_=adv_li_tt"
"142","A majmok bolygója: Forradalom","(2014)","7.6","Matt Reeves","130 min","425,195","https://www.imdb.com/title/tt2103281/?ref_=adv_li_tt"
"143","Gru","(2010)","7.6","Pierre Coffin","95 min","520,531","https://www.imdb.com/title/tt1323594/?ref_=adv_li_tt"
"144","Superman II: The Richard Donner Cut","(1980)","7.6","Richard Donner","116 min","15,911","https://www.imdb.com/title/tt0839995/?ref_=adv_li_tt"
"145","Watchmen: Az őrzők","(2009)","7.6","Zack Snyder","162 min","529,414","https://www.imdb.com/title/tt0409459/?ref_=adv_li_tt"
"146","Pillangó-hatás","(2004)","7.6","Eric Bress","113 min","469,731","https://www.imdb.com/title/tt0289879/?ref_=adv_li_tt"
"147","28 nappal később","(2002)","7.6","Danny Boyle","113 min","395,910","https://www.imdb.com/title/tt0289043/?ref_=adv_li_tt"
"148","Battle Royale","(2000)","7.6","Kinji Fukasaku","114 min","177,565","https://www.imdb.com/title/tt0266308/?ref_=adv_li_tt"
"149","Hercegek és hercegnők","(2000)","7.6","Michel Ocelot","70 min","2,140","https://www.imdb.com/title/tt0229664/?ref_=adv_li_tt"
